player_id,name,jersey_number,captain_count,played_count,green_card_count,yellow_card_count,red_card_count,starter_count,top_raider_count,top_defender_count,total_points,team_id,team_name,total_matches_in_season,season,team_name,cards_total
205,Sandeep Malik,18,0,1,0,0,0,1,0,0,2,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
192,Vaibhav Kale,3,0,1,0,0,0,0,0,0,0,1,Bengaluru Bulls,16,2,Bengaluru Bulls,0
88,Rakesh Kumar,7,4,4,0,0,0,4,2,0,17,6,Patna Pirates,16,2,Patna Pirates,0
142,Sandeep Narwal,10,12,16,3,0,0,16,3,6,84,6,Patna Pirates,16,2,Patna Pirates,3
92,Ravi Dalal,9,0,11,1,0,0,11,3,0,47,6,Patna Pirates,16,2,Patna Pirates,1
162,D. Suresh Kumar,1,0,16,2,0,0,16,0,2,30,6,Patna Pirates,16,2,Patna Pirates,2
20,Wasim Sajjad,5,0,10,0,0,0,2,0,0,0,6,Patna Pirates,16,2,Patna Pirates,0
206,Aman Kumar,12,0,4,0,0,0,2,0,0,2,6,Patna Pirates,16,2,Patna Pirates,0
207,Sunil Kumar,22,0,10,0,0,0,8,0,2,24,6,Patna Pirates,16,2,Patna Pirates,0
46,Gurvinder Singh,2,0,16,0,0,0,8,3,0,49,6,Patna Pirates,16,2,Patna Pirates,0
161,Girish Maruti Ernak,8,0,15,1,0,0,9,0,3,27,6,Patna Pirates,16,2,Patna Pirates,1
14,Tae Deok Eom,66,0,16,0,0,0,4,2,0,16,6,Patna Pirates,16,2,Patna Pirates,0
208,Varinder Singh,99,0,15,0,0,0,8,0,1,5,6,Patna Pirates,16,2,Patna Pirates,0
211,Deepak Narwal,84,0,16,0,0,0,9,3,0,61,6,Patna Pirates,16,2,Patna Pirates,0
212,Amit Hooda,20,0,14,0,0,0,12,0,2,26,6,Patna Pirates,16,2,Patna Pirates,0
260,Vijay Malik,14,0,12,0,0,0,2,0,0,5,6,Patna Pirates,16,2,Patna Pirates,0
269,Arvind Baliyan,4,0,5,0,0,0,1,0,0,0,6,Patna Pirates,16,2,Patna Pirates,0
18,Nasir Ali,19,0,3,0,0,0,0,0,0,0,6,Patna Pirates,16,2,Patna Pirates,0
209,Abhinandan Kumar,18,0,1,0,0,0,0,0,0,0,6,Patna Pirates,16,2,Patna Pirates,0
216,Pradeep Kumar,16,0,4,0,0,0,0,0,0,0,6,Patna Pirates,16,2,Patna Pirates,0
270,Jasmer Singh,3,0,4,0,0,0,0,0,0,0,6,Patna Pirates,16,2,Patna Pirates,0
72,Navneet Gautam,7,7,7,0,0,0,7,0,0,1,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,0
52,Jasvir Singh,2,6,13,3,0,0,13,3,0,74,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,3
86,Rajesh Narwal,11,0,14,3,0,0,14,3,1,86,3,Jaipur Pink Panthers,14,2,Jaipur Pink Panthers,3
